Exp,Mouse,Line,Group,Inf1,Inf2,Protein,Dpi,IFNg_serum,IgE_serum,IgG1_serum,IgG2a_serum,IL.4_serum,IL.5_serum,IL.10_serum,IFNg_Ag.MLN.stim,IFN_CD3.MLN.stim,IFN_Media.MLN.stim,IL.5_Media.MLN.stim,IL.5_Ag.MLN.stim,IL.5_CD3.MLN.stim,IL.10_Media.MLN.stim,IL.10_CD.MLN.stim,IL.10_Ag.MLN.stim,IL.17.Media.MLN.stim,IL.17_CD.MLN.stim,IL.17_Ag.MLN.stim,wean.BW,FinalBW,ADWG,ADWG.expt,ADWG.expt.diet,spleen.wt,Gut.wt,Spl_BW,Gut_BW,colon.contents,wet.carcass.wt,dry.carcass.wt,Fat_,GAPDH_qPCR.gut,Arg1_qPCR.gut,CD36_qPCR.gut,Idlr_qPCR.gut,iNOS_qPCR.gut,PPARg1.2_qPCR.gut,RELMa_qPCR.gut,Arg1_qPCR.spleen,CD36_qPCR.spleen,GAPDH_qPCR.spleen,Idlr_qPCR.spleen,iNOS_qPCR.spleen,PPARg1.2_qPCR.spleen,RELMa_qPCR.spleen,Total.worms
SB-105,55,ROH,1_0,1,0,LP,21,0,0.076,10.15038669,6.685860947,0,0,0,0,2.124,0,0,0,2.416,0.029,2.378,0.057,0,0.413,0,14.19,41.17,0.818,0.373,0.404,0.095,1.643,2.308,39.908,0.21,38.1,17.2,20.813,0.139,0,0,0.009,0.931,0.01,0.012,0.113,0.174,0.317,1.675,0.176,0.188,0.019,0
SB-105,56,ROH,0_1,0,1,LP,21,0,0.165,9.457278572,6.685860947,0.035,0,0,0,0,0,0,0,0.56,0,0.358,1.051,0,2.94,0,16.06,40.31,0.735,0.247,0.082,0.128,1.99,3.175,49.367,0.22,36.53,16.3,20.222,0.001,0,0,0.4,0.012,0,0,0.069,0.005,0.231,0.266,0.152,0.212,0.026,15
SB-105,57,ROH,0_1,0,1,HP,21,0,0.229,9.457278572,0,0.054,0.05,0,0,0,0,0,0.181,3.967,0,7.83,0.292,0,0,0,16.6,55.69,1.185,1.013,1.268,0.192,2.914,3.448,52.325,0.21,52.39,24.3,22.213,0.144,0,0,0.328,0.005,0.004,0.003,0.002,0,0.002,0.003,0,0,0,21
SB-105,58,ROH,1_1,1,1,HP,9,0,0.208,8.764209507,6.685860947,0.005,0,0,0,2.568,0,0,0,2.041,0,2.246,0.057,0,0.364,0,15.24,46.37,0.943,0.638,0.742,0.146,2.237,3.149,48.242,0.04,42.02,17.9,17.937,0.001,0,0,0.005,0,0.008,0.003,1.018,0.062,0.329,0.665,0.187,0.334,0.025,0
SB-105,59,ROH,0_1,0,1,LP,9,0,0.004,0,0,0.009,0,0,0,3.612,0,0,0,0,0.072,1.86,0.079,0,0.064,0,16.47,41.65,0.763,0.347,-0.159,0.118,1.926,2.833,46.242,0.25,37.8,16.4,18.826,0.021,0,0,0.189,0.003,0,0.001,0.133,0.059,0.349,1.04,0.136,0.333,0.015,1
SB-105,60,ROH,0_0,0,0,LP,21,0,0,0,0,0.019,0,0,0,0,0,0,0,0.195,0,0.231,0.038,0,0,0,15.96,43.29,0.828,0.484,0.319,0.092,1.924,2.125,44.444,0.2,41.46,18.7,20.767,1.36,0,32.95,0.698,1.915,0.159,0,0.197,0,0.024,0.041,0.022,0.017,0.002,0
SB-105,61,ROL,0_0,0,0,HP,21,0,0.055,0,0,0.028,0,0,0,7.344,0,0,0,0.537,0.042,0.548,0.056,0.66,0.704,0,6.54,16.34,0.276,0.298,0.249,0.042,0.739,2.57,45.226,0.12,15.17,5.8,13.004,0.267,0,0.008,0.019,1.236,0.014,0,0.446,0.041,0.003,1.155,0.106,0.173,0.002,0
SB-105,63,ROL,0_1,0,1,LP,21,0,0.065,7.378383713,0,0,0.495,0,0,0.891,12.603,0,0,0,0,0.336,0,0,0.023,0,7.23,14.27,0.221,0.263,0.233,0.088,0.709,6.167,49.685,0.11,13.12,5.3,15.448,1.55,0,0.793,33.7,0.301,0.133,0,1.521,0.007,0.144,0.057,0.014,0.073,0,3
SB-105,64,ROL,0_1,0,1,LP,9,0,0.065,0,0,0.055,0,0,0,0,0,0,0.455,2.352,0.281,1.225,0.116,0,0,0,7.98,11.82,0.112,0.142,0.11,0.041,0.728,3.469,61.591,0.04,11.04,4,10.742,0.201,0,0,0.1,0,0.003,0,0.591,0.092,0.32,0.803,0.094,0.316,0.093,5
SB-105,65,ROL,1_1,1,1,HP,9,0,0.181,7.378383713,0,0,0,0,0,0,0,0,1.08,1.752,0.116,0.594,0.254,0,0,1.099,9.05,16.69,0.226,0.188,0.184,0.04,0.811,2.397,48.592,0.03,15.67,5.8,11.625,0.669,0.054,0.181,0.101,0.078,0.048,0.024,0.601,0.061,0.32,4.02,0.237,0.168,0.035,0
SB-105,66,ROL,1_0,1,0,HP,21,0,0.048,6.685860947,0,0,0,0,0,6.535,0,0,0,0,0,0.461,0,0,1.003,0,5.77,19.82,0.258,0.286,0.381,0.059,0.827,2.977,41.726,0.16,17.85,7,14.114,0.016,0,0.001,0.004,0.346,0,0,0.287,0.168,0.692,5.2,0.193,0.395,0.017,0
SB-105,67,ROL,1_1,1,1,LP,21,0,0.319,9.457278572,0,0,0,0,0,0,0,0,0,0.569,0,1.057,1.244,0,0.465,0,7.26,15.34,0.181,0.145,0.048,0.048,0.817,3.129,53.259,0.16,13.78,5,10.801,0.629,0.003,0.167,0.064,0.046,0.055,0.008,0.007,0,0.007,0.006,0.001,0,0,11
SB-105,68,ROL,0_1,0,1,HP,9,0,0.123,6.685860947,0,0.094,0.05,0,0,9.318,0,0,0,3.671,0.324,1.975,0.138,0,0.157,0,4.54,14.22,0.293,0.223,0.115,0.09,0.757,6.308,53.235,0.07,13.07,4.5,8.706,0.344,0.005,0,1.065,0.02,0.012,0.006,6.525,0.105,0.516,4.39,0.11,0.396,0.137,20
SB-105,69,ROL,0_0,0,0,LP,21,0,0.064,0,0,0,0,0,0,5.264,0.125,0,0,0,0.044,0.098,0.031,0,0.82,0,5.05,13.31,0.25,0.224,0.04,0.035,0.61,2.63,45.83,0.06,11.96,4.3,10.427,0.151,0,0,0.02,0.649,0.005,0,0.153,0.03,0.24,1.135,0.105,0.284,0.002,0
SB-105,70,ROL,0_1,0,1,HP,9,0,0.044,0,0,0,0,0,0,6.047,0,0,0.176,3.978,0.138,1.657,0.386,0,0.223,0,4.74,15.07,0.313,0.264,0.131,0.085,0.843,5.627,55.939,0.18,13.17,4.7,10.126,0.007,0,0,0.249,0,0,0,0.715,0.237,0.001,2.42,0.128,0.489,0.049,24
SB-105,71,ROL,0_1,0,1,HP,21,0,0.148,7.378383713,0,0,0,0,0,4.459,0,0,0.315,0.339,0.055,0.176,0.098,0,0.682,0,5.2,16.61,0.346,0.252,0.27,0.05,0.864,3.01,52.017,0.06,11.96,6,26.489,0.528,0,0.008,2.525,0.024,0.04,0.001,0.189,0.077,0.323,1.355,0.098,0.104,0.019,35
SB-105,72,ROL,1_0,1,0,LP,21,0,0.038,7.378383713,0,0.06,0,0,1.063,9.56,1.191,0,0.115,0.476,0.049,0.536,0.072,0,4.048,0,5.62,15.84,0.31,0.152,0.091,0.036,0.723,2.273,45.644,0.1,14,5.5,14.193,0.001,0,0,0.004,0.013,0,0,0.286,0.099,0.312,3.36,0.155,0.293,0.005,0
